"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Salary Expense","Cash Payment - Salary Expense","39028"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1885"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Rental Expense","Cash Payment - Rental - Detroit","1500"
"90","Rental Expense","Cash Payment - Rental - Miami","1800"
"90","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"89","Human Resource Expense","Counselled","2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Salary Expense","Cash Payment - Salary Expense","38981"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"89","Shipping Expense","Cash Payment - Move Stock ID: 13503","59207"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Rental Expense","Cash Payment - Rental - Detroit","1500"
"89","Rental Expense","Cash Payment - Rental - Miami","1800"
"89","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","38802"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","3220"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Rental Expense","Cash Payment - Rental - Detroit","1500"
"88","Rental Expense","Cash Payment - Rental - Miami","1800"
"88","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Salary Expense","Cash Payment - Salary Expense","38690"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","5950"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Rental Expense","Cash Payment - Rental - Detroit","1500"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","162"
"87","Rental Expense","Cash Payment - Rental - Miami","1800"
"87","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Salary Expense","Cash Payment - Salary Expense","39188"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1925"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Rental Expense","Cash Payment - Rental - Detroit","1500"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","120"
"86","Rental Expense","Cash Payment - Rental - Miami","1800"
"86","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Salary Expense","Cash Payment - Salary Expense","39004"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","693"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Rental Expense","Cash Payment - Rental - Detroit","1500"
"85","Rental Expense","Cash Payment - Rental - Miami","1800"
"85","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"84","Human Resource Expense","Counselled","2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Salary Expense","Cash Payment - Salary Expense","38921"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","693"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Rental Expense","Cash Payment - Rental - Detroit","1500"
"84","Rental Expense","Cash Payment - Rental - Miami","1800"
"84","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Salary Expense","Cash Payment - Salary Expense","38921"
"83","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 9013","96000"
"83","Shipping Expense","Cash Payment - Move Stock ID: 12959","134274"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"83","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","2079"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"83","Rental Expense","Cash Payment - Rental - New York","4020"
"83","Rental Expense","Cash Payment - Rental - Detroit","1500"
"83","Rental Expense","Cash Payment - Rental - Miami","1800"
"83","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Salary Expense","Cash Payment - Salary Expense","38898"
"82","Shipping Expense","Cash Payment - Move Stock ID: 12211","59207"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"82","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1995"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"82","Rental Expense","Cash Payment - Rental - New York","4020"
"82","Rental Expense","Cash Payment - Rental - Detroit","1500"
"82","Rental Expense","Cash Payment - Rental - Miami","1800"
"82","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"81","Human Resource Expense","Counselled","2000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Salary Expense","Cash Payment - Salary Expense","38554"
"81","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"81","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1918"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"81","Rental Expense","Cash Payment - Rental - New York","4020"
"81","Rental Expense","Cash Payment - Rental - Detroit","1500"
"81","Rental Expense","Cash Payment - Rental - Miami","1800"
"81","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"80","Human Resource Expense","Attended Training","15000"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"80","Salary Expense","Cash Payment - Salary Expense","37652"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"80","Shipping Expense","Cash Payment - Move Stock ID: 12350","134274"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"80","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1869"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"80","Rental Expense","Cash Payment - Rental - New York","4020"
"80","Rental Expense","Cash Payment - Rental - Detroit","1500"
"80","Rental Expense","Cash Payment - Rental - Miami","1800"
"80","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"79","Salary Expense","Cash Payment - Salary Expense","37608"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"79","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","3584"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"79","Rental Expense","Cash Payment - Rental - New York","4020"
"79","Rental Expense","Cash Payment - Rental - Detroit","1500"
"79","Rental Expense","Cash Payment - Rental - Miami","1800"
"79","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"78","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"78","Salary Expense","Cash Payment - Salary Expense","37437"
"78","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"78","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","4284"
"78","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"78","Rental Expense","Cash Payment - Rental - New York","4020"
"78","Rental Expense","Cash Payment - Rental - Detroit","1500"
"78","Rental Expense","Cash Payment - Rental - Miami","1800"
"78","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"77","Human Resource Expense","Staff Dismiss","75000"
"77","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"77","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"77","Salary Expense","Cash Payment - Salary Expense","37331"
"77","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"77","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1414"
"77","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"77","Rental Expense","Cash Payment - Rental - New York","4020"
"77","Rental Expense","Cash Payment - Rental - Detroit","1500"
"77","Rental Expense","Cash Payment - Rental - Miami","1800"
"77","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","861"
"77","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"76","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"76","Salary Expense","Cash Payment - Salary Expense","37454"
"76","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"76","Shipping Expense","Cash Payment - Move Stock ID: 11089","59207"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"76","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1337"
"76","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"76","Rental Expense","Cash Payment - Rental - New York","4020"
"76","Rental Expense","Cash Payment - Rental - Detroit","1500"
"76","Rental Expense","Cash Payment - Rental - Miami","1800"
"76","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","791"
"76","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"75","Human Resource Expense","Counselled","2000"
"75","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"75","Salary Expense","Cash Payment - Salary Expense","37278"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"75","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1918"
"75","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"75","Rental Expense","Cash Payment - Rental - New York","4020"
"75","Rental Expense","Cash Payment - Rental - Detroit","1500"
"75","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","966"
"75","Rental Expense","Cash Payment - Rental - Miami","1800"
"75","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","805"
"75","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"74","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"74","Salary Expense","Cash Payment - Salary Expense","37199"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"74","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1813"
"74","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"74","Rental Expense","Cash Payment - Rental - New York","4020"
"74","Rental Expense","Cash Payment - Rental - Detroit","1500"
"74","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","927"
"74","Rental Expense","Cash Payment - Rental - Miami","1800"
"74","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"73","Human Resource Expense","Attended Training","15000"
"73","Human Resource Expense","Counselled","2000"
"73","Human Resource Expense","Attended Training","15000"
"73","Human Resource Expense","Attended Training","15000"
"73","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"73","Salary Expense","Cash Payment - Salary Expense","37199"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"73","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"73","Rental Expense","Cash Payment - Rental - New York","4020"
"73","Rental Expense","Cash Payment - Rental - Detroit","1500"
"73","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","60"
"73","Rental Expense","Cash Payment - Rental - Miami","1800"
"73","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","469"
"73","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"72","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"72","Salary Expense","Cash Payment - Salary Expense","37177"
"72","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"72","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"72","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"72","Rental Expense","Cash Payment - Rental - New York","4020"
"72","Rental Expense","Cash Payment - Rental - Detroit","1500"
"72","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","672"
"72","Rental Expense","Cash Payment - Rental - Miami","1800"
"72","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1484"
"72","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"71","Human Resource Expense","Counselled","2000"
"71","Human Resource Expense","Counselled","2000"
"71","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"71","Salary Expense","Cash Payment - Salary Expense","36860"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"71","Shipping Expense","Cash Payment - Move Stock ID: 10672","134274"
"71","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"71","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"71","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"71","Rental Expense","Cash Payment - Rental - New York","4020"
"71","Rental Expense","Cash Payment - Rental - Detroit","1500"
"71","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","735"
"71","Rental Expense","Cash Payment - Rental - Miami","1800"
"71","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2065"
"71","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"70","Human Resource Expense","Attended Training","15000"
"70","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"70","Salary Expense","Cash Payment - Salary Expense","36003"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"70","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1246"
"70","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"70","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"70","Rental Expense","Cash Payment - Rental - New York","4020"
"70","Rental Expense","Cash Payment - Rental - Detroit","1500"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","207"
"70","Rental Expense","Cash Payment - Rental - Miami","1800"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2072"
"70","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"69","Human Resource Expense","Counselled","2000"
"69","Human Resource Expense","Counselled","2000"
"69","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"69","Salary Expense","Cash Payment - Salary Expense","35961"
"69","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"69","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"69","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"69","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"69","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"69","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"69","Rental Expense","Cash Payment - Rental - New York","4020"
"69","Rental Expense","Cash Payment - Rental - Detroit","1500"
"69","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1101"
"69","Rental Expense","Cash Payment - Rental - Miami","1800"
"69","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","3822"
"69","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"68","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"68","Salary Expense","Cash Payment - Salary Expense","35798"
"68","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 6736","5500"
"68","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"68","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"68","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"68","Rental Expense","Cash Payment - Rental - New York","4020"
"68","Rental Expense","Cash Payment - Rental - Detroit","1500"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1401"
"68","Rental Expense","Cash Payment - Rental - Miami","1800"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2534"
"68","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"67","Human Resource Expense","Counselled","2000"
"67","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"67","Salary Expense","Cash Payment - Salary Expense","35697"
"67","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"67","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"67","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"67","Rental Expense","Cash Payment - Rental - New York","4020"
"67","Rental Expense","Cash Payment - Rental - Detroit","1500"
"67","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1362"
"67","Rental Expense","Cash Payment - Rental - Miami","1800"
"67","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","3080"
"67","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"66","Human Resource Expense","Attended Training","15000"
"66","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"66","Salary Expense","Cash Payment - Salary Expense","35697"
"66","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"66","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"66","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"66","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","29"
"66","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"66","Rental Expense","Cash Payment - Rental - New York","4020"
"66","Rental Expense","Cash Payment - Rental - Detroit","1500"
"66","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1254"
"66","Rental Expense","Cash Payment - Rental - Miami","1800"
"66","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1806"
"66","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"65","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"65","Salary Expense","Cash Payment - Salary Expense","35529"
"65","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"65","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"65","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"65","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"65","Shipping Expense","Cash Payment - Move Stock ID: 9411","5765"
"65","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"65","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"65","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","145"
"65","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"65","Rental Expense","Cash Payment - Rental - New York","4020"
"65","Rental Expense","Cash Payment - Rental - Detroit","1500"
"65","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1254"
"65","Rental Expense","Cash Payment - Rental - Miami","1800"
"65","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2226"
"65","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"64","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"64","Salary Expense","Cash Payment - Salary Expense","35453"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"64","Shipping Expense","Cash Payment - Move Stock ID: 8960","46773"
"64","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"64","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"64","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"64","Rental Expense","Cash Payment - Rental - New York","4020"
"64","Rental Expense","Cash Payment - Rental - Detroit","1500"
"64","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1431"
"64","Rental Expense","Cash Payment - Rental - Miami","1800"
"64","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2842"
"64","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"63","Human Resource Expense","Counselled","2000"
"63","Human Resource Expense","Counselled","2000"
"63","Human Resource Expense","Attended Training","15000"
"63","Human Resource Expense","Counselled","2000"
"63","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"63","Salary Expense","Cash Payment - Salary Expense","35453"
"63","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"63","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"63","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"63","Rental Expense","Cash Payment - Rental - New York","4020"
"63","Rental Expense","Cash Payment - Rental - Detroit","1500"
"63","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1014"
"63","Rental Expense","Cash Payment - Rental - Miami","1800"
"63","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2863"
