"Day ","Items ","Note ","Amount "
"63","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"62","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"62","Salary Expense","Cash Payment - Salary Expense","35432"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"62","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","126"
"62","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"62","Rental Expense","Cash Payment - Rental - New York","4020"
"62","Rental Expense","Cash Payment - Rental - Detroit","1500"
"62","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","978"
"62","Rental Expense","Cash Payment - Rental - Miami","1800"
"62","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2751"
"62","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"61","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"61","Salary Expense","Cash Payment - Salary Expense","35128"
"61","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"61","Shipping Expense","Cash Payment - Move Stock ID: 8792","4738"
"61","Shipping Expense","Cash Payment - Move Stock ID: 8961","106076"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","917"
"61","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"61","Rental Expense","Cash Payment - Rental - New York","4020"
"61","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","60"
"61","Rental Expense","Cash Payment - Rental - Detroit","1500"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","933"
"61","Rental Expense","Cash Payment - Rental - Miami","1800"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","3304"
"61","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"60","Human Resource Expense","Attended Training","15000"
"60","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"60","Salary Expense","Cash Payment - Salary Expense","34309"
"60","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"60","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"60","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"60","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1092"
"60","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"60","Rental Expense","Cash Payment - Rental - New York","4020"
"60","Rental Expense","Cash Payment - Rental - Detroit","1500"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","915"
"60","Rental Expense","Cash Payment - Rental - Miami","1800"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1414"
"60","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"59","Human Resource Expense","Counselled","2000"
"59","Human Resource Expense","Counselled","2000"
"59","Human Resource Expense","Counselled","2000"
"59","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"59","Salary Expense","Cash Payment - Salary Expense","34269"
"59","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8728","357"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"59","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1225"
"59","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"59","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"59","Rental Expense","Cash Payment - Rental - New York","4020"
"59","Rental Expense","Cash Payment - Rental - Detroit","1500"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","888"
"59","Rental Expense","Cash Payment - Rental - Miami","1800"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","546"
"59","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"58","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"58","Salary Expense","Cash Payment - Salary Expense","34113"
"58","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8596","7"
"58","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8705","7"
"58","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"58","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1393"
"58","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"58","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"58","Rental Expense","Cash Payment - Rental - New York","4020"
"58","Rental Expense","Cash Payment - Rental - Detroit","1500"
"58","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","342"
"58","Rental Expense","Cash Payment - Rental - Miami","1800"
"58","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1582"
"58","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"57","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"57","Salary Expense","Cash Payment - Salary Expense","34017"
"57","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"57","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1575"
"57","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"57","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"57","Rental Expense","Cash Payment - Rental - New York","4020"
"57","Rental Expense","Cash Payment - Rental - Detroit","1500"
"57","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","312"
"57","Rental Expense","Cash Payment - Rental - Miami","1800"
"57","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1582"
"57","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"56","Human Resource Expense","Counselled","2000"
"56","Human Resource Expense","Counselled","2000"
"56","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"56","Salary Expense","Cash Payment - Salary Expense","34017"
"56","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"56","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"56","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1484"
"56","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"56","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"56","Rental Expense","Cash Payment - Rental - New York","4020"
"56","Rental Expense","Cash Payment - Rental - Detroit","1500"
"56","Rental Expense","Cash Payment - Rental - Miami","1800"
"56","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","1477"
"56","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"55","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"55","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"55","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"55","Salary Expense","Cash Payment - Salary Expense","33857"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8141","116"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8154","3"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8157","9"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8163","4"
"55","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"55","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"55","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"55","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"55","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"55","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","595"
"55","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"55","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"55","Rental Expense","Cash Payment - Rental - New York","4020"
"55","Rental Expense","Cash Payment - Rental - Detroit","1500"
"55","Rental Expense","Cash Payment - Rental - Miami","1800"
"55","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2268"
"55","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"54","Human Resource Expense","Counselled","2000"
"54","Human Resource Expense","Staff Dismiss","52000"
"54","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"54","Salary Expense","Cash Payment - Salary Expense","33066"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"54","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"54","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"54","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"54","Rental Expense","Cash Payment - Rental - New York","4020"
"54","Rental Expense","Cash Payment - Rental - Detroit","1500"
"54","Rental Expense","Cash Payment - Rental - Miami","1800"
"54","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2240"
"54","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"53","Human Resource Expense","Counselled","2000"
"53","Human Resource Expense","Counselled","2000"
"53","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"53","Salary Expense","Cash Payment - Salary Expense","33512"
"53","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7763","131"
"53","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7807","175"
"53","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"53","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"53","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"53","Rental Expense","Cash Payment - Rental - New York","4020"
"53","Rental Expense","Cash Payment - Rental - Detroit","1500"
"53","Rental Expense","Cash Payment - Rental - Miami","1800"
"53","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","966"
"53","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"52","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"52","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"52","Salary Expense","Cash Payment - Salary Expense","33492"
"52","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7597","89"
"52","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7631","166"
"52","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"52","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"52","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"52","Rental Expense","Cash Payment - Rental - New York","4020"
"52","Rental Expense","Cash Payment - Rental - Detroit","1500"
"52","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","18"
"52","Rental Expense","Cash Payment - Rental - Miami","1800"
"52","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","868"
"52","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"51","Human Resource Expense","Staff Dismiss","34000"
"51","Human Resource Expense","Counselled","2000"
"51","Human Resource Expense","Counselled","2000"
"51","Human Resource Expense","Counselled","2000"
"51","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"51","Salary Expense","Cash Payment - Salary Expense","32869"
"51","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7297","138"
"51","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"51","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"51","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"51","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"51","Rental Expense","Cash Payment - Rental - New York","4020"
"51","Rental Expense","Cash Payment - Rental - Detroit","1500"
"51","Rental Expense","Cash Payment - Rental - Miami","1800"
"51","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"50","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"50","Human Resource Expense","Counselled","2000"
"50","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"50","Salary Expense","Cash Payment - Salary Expense","32472"
"50","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7215","84"
"50","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7280","191"
"50","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"50","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"50","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"50","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"50","Shipping Expense","Cash Payment - Move Stock ID: 7020","147432"
"50","Shipping Expense","Cash Payment - Move Stock ID: 7177","12666"
"50","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"50","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"50","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"50","Rental Expense","Cash Payment - Rental - New York","4020"
"50","Rental Expense","Cash Payment - Rental - Detroit","1500"
"50","Rental Expense","Cash Payment - Rental - Miami","1800"
"50","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"49","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"49","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"49","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"49","Salary Expense","Cash Payment - Salary Expense","32415"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"49","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"49","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"49","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"49","Rental Expense","Cash Payment - Rental - New York","4020"
"49","Rental Expense","Cash Payment - Rental - Detroit","1500"
"49","Rental Expense","Cash Payment - Rental - Miami","1800"
"49","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"48","Human Resource Expense","Counselled","2000"
"48","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"48","Salary Expense","Cash Payment - Salary Expense","31583"
"48","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"48","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"48","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"48","Rental Expense","Cash Payment - Rental - New York","4020"
"48","Rental Expense","Cash Payment - Rental - Detroit","1500"
"48","Rental Expense","Cash Payment - Rental - Miami","1800"
"48","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"47","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"47","Salary Expense","Cash Payment - Salary Expense","31473"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6541","12"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6554","19"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6562","15"
"47","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"47","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"47","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"47","Rental Expense","Cash Payment - Rental - New York","4020"
"47","Rental Expense","Cash Payment - Rental - Detroit","1500"
"47","Rental Expense","Cash Payment - Rental - Miami","1800"
"47","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","154"
"47","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"46","Human Resource Expense","Staff Dismiss","43000"
"46","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"46","Salary Expense","Cash Payment - Salary Expense","31473"
"46","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6572","139"
"46","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"46","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 3216","5500"
"46","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"46","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"46","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"46","Rental Expense","Cash Payment - Rental - New York","4020"
"46","Rental Expense","Cash Payment - Rental - Detroit","1500"
"46","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","438"
"46","Rental Expense","Cash Payment - Rental - Miami","1800"
"46","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","63"
"46","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"45","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"45","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"45","Salary Expense","Cash Payment - Salary Expense","31727"
"45","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"45","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"45","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"45","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"45","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"45","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"45","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"45","Rental Expense","Cash Payment - Rental - New York","4020"
"45","Rental Expense","Cash Payment - Rental - Detroit","1500"
"45","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","417"
"45","Rental Expense","Cash Payment - Rental - Miami","1800"
"45","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"44","Human Resource Expense","Counselled","2000"
"44","Human Resource Expense","Counselled","2000"
"44","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"44","Salary Expense","Cash Payment - Salary Expense","31341"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"44","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"44","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"44","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"44","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","390"
"44","Rental Expense","Cash Payment - Rental - New York","4020"
"44","Rental Expense","Cash Payment - Rental - Detroit","1500"
"44","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","372"
"44","Rental Expense","Cash Payment - Rental - Miami","1800"
"44","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","385"
"44","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"43","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"43","Salary Expense","Cash Payment - Salary Expense","31341"
"43","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5888","19"
"43","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5898","15"
"43","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6040","14"
"43","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6049","8"
"43","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"43","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"43","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"43","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1014"
"43","Rental Expense","Cash Payment - Rental - New York","4020"
"43","Rental Expense","Cash Payment - Rental - Detroit","1500"
"43","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","333"
"43","Rental Expense","Cash Payment - Rental - Miami","1800"
"43","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","294"
"43","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"42","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"42","Salary Expense","Cash Payment - Salary Expense","31322"
"42","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"42","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"42","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"42","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1716"
"42","Rental Expense","Cash Payment - Rental - New York","4020"
"42","Rental Expense","Cash Payment - Rental - Detroit","1500"
"42","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","294"
"42","Rental Expense","Cash Payment - Rental - Miami","1800"
"42","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"41","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"41","Human Resource Expense","Counselled","2000"
"41","Human Resource Expense","Counselled","2000"
"41","Human Resource Expense","Counselled","2000"
"41","Human Resource Expense","Counselled","2000"
"41","Human Resource Expense","Counselled","2000"
"41","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"41","Salary Expense","Cash Payment - Salary Expense","31042"
"41","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"41","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"41","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"41","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"41","Rental Expense","Cash Payment - Rental - New York","4020"
"41","Rental Expense","Cash Payment - Rental - Detroit","1500"
"41","Rental Expense","Cash Payment - Rental - Miami","1800"
"41","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"40","Human Resource Expense","Staff Dismiss","21000"
"40","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"40","Salary Expense","Cash Payment - Salary Expense","29906"
"40","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5504","95"
"40","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5519","16"
"40","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"40","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"40","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"40","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"40","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"40","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"40","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"40","Rental Expense","Cash Payment - Rental - New York","4020"
"40","Rental Expense","Cash Payment - Rental - Detroit","1500"
"40","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","174"
"40","Rental Expense","Cash Payment - Rental - Miami","1800"
"40","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"39","Human Resource Expense","Counselled","2000"
"39","Human Resource Expense","Counselled","2000"
"39","Human Resource Expense","Counselled","2000"
"39","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"39","Salary Expense","Cash Payment - Salary Expense","30274"
"39","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5202","207"
"39","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5344","24"
"39","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5358","12"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"39","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"39","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"39","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"39","Rental Expense","Cash Payment - Rental - New York","4020"
"39","Rental Expense","Cash Payment - Rental - Detroit","1500"
"39","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","135"
"39","Rental Expense","Cash Payment - Rental - Miami","1800"
"39","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"38","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"38","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"38","Salary Expense","Cash Payment - Salary Expense","30166"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5025","204"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5033","188"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5188","137"
"38","Depreciation Expense","Non-Cash Expense - Depreciation","45000"
"38","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"38","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"38","Rental Expense","Cash Payment - Rental - New York","4020"
"38","Rental Expense","Cash Payment - Rental - Detroit","1500"
"38","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","87"
"38","Rental Expense","Cash Payment - Rental - Miami","1800"
"38","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"37","Human Resource Expense","Counselled","2000"
"37","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"37","Salary Expense","Cash Payment - Salary Expense","30057"
"37","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4854","297"
